date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:30:33	4620/4620	---M-Z	200	added ('OK')	text/html	etag:%22cf7b2c537f7034c277df8f4f27f60622-ssl-df%22	https://idyllic-platypus-b8f642.netlify.app/	C:/My%20Web%20Sites/nyolong23/idyllic-platypus-b8f642.netlify.app/index.html	(from )
20:30:33	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1686915973-ssl-df	https://idyllic-platypus-b8f642.netlify.app/robots.txt		(from )
20:30:33	7839/7839	---M-Z	200	added ('OK')	text/css	etag:%226ab8e7b06840127aa0fadc0a9741d7db-ssl-df%22	https://idyllic-platypus-b8f642.netlify.app/style.css	C:/My%20Web%20Sites/nyolong23/idyllic-platypus-b8f642.netlify.app/style.css	(from https://idyllic-platypus-b8f642.netlify.app/)
20:30:33	3082/3082	---M-Z	404	error ('Not%20Found')	text/html	etag:1686915973-ssl-df	https://idyllic-platypus-b8f642.netlify.app/favicon.icon	C:/My%20Web%20Sites/nyolong23/idyllic-platypus-b8f642.netlify.app/favicon.1.delayed	(from https://idyllic-platypus-b8f642.netlify.app/)
20:30:34	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/My%20Web%20Sites/nyolong23/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://idyllic-platypus-b8f642.netlify.app/)
20:30:35	403/403	---M--	200	added ('OK')	image/svg+xml	etag:%227cc6a858984aed8ee2defd8565136eca-ssl%22	https://idyllic-platypus-b8f642.netlify.app/user-plus.svg	C:/My%20Web%20Sites/nyolong23/idyllic-platypus-b8f642.netlify.app/user-plus.svg	(from https://idyllic-platypus-b8f642.netlify.app/)
20:30:35	783684/783684	---M--	200	added ('OK')	video/mp4	etag:%221c26f5a20e3692027f260e430f9095b5-ssl%22	https://idyllic-platypus-b8f642.netlify.app/videos/bg.mp4	C:/My%20Web%20Sites/nyolong23/idyllic-platypus-b8f642.netlify.app/videos/bg.mp4	(from https://idyllic-platypus-b8f642.netlify.app/)
20:30:35	349/349	---M--	200	added ('OK')	image/svg+xml	etag:%2261fccf1277b3c7b2e486c091430a82e2-ssl%22	https://idyllic-platypus-b8f642.netlify.app/mail.svg	C:/My%20Web%20Sites/nyolong23/idyllic-platypus-b8f642.netlify.app/mail.svg	(from https://idyllic-platypus-b8f642.netlify.app/)
20:30:36	308/308	---M--	200	added ('OK')	image/svg+xml	etag:%22e5e81d65a1842e41e6fa13474665e4bb-ssl%22	https://idyllic-platypus-b8f642.netlify.app/user.svg	C:/My%20Web%20Sites/nyolong23/idyllic-platypus-b8f642.netlify.app/user.svg	(from https://idyllic-platypus-b8f642.netlify.app/)
20:30:36	323/323	---M--	200	added ('OK')	image/svg+xml	etag:%22ba6ddb5d00254efdeeae38d6e2a9c68a-ssl%22	https://idyllic-platypus-b8f642.netlify.app/check-circle.svg	C:/My%20Web%20Sites/nyolong23/idyllic-platypus-b8f642.netlify.app/check-circle.svg	(from https://idyllic-platypus-b8f642.netlify.app/)
